iter	Passed	Remaining
0	59	59912
1	60	30192
2	60	20187
3	61	15194
4	61	12191
5	61	10191
6	61	8759
7	61	7687
8	62	6851
9	62	6183
10	62	5634
11	62	5177
12	63	4790
13	63	4459
14	63	4173
15	63	3922
16	64	3700
17	64	3504
18	64	3327
19	64	3168
20	64	3025
21	65	2891
22	65	2772
23	65	2662
24	65	2562
25	65	2469
26	66	2383
27	66	2302
28	66	2229
29	66	2160
30	67	2096
31	67	2037
32	67	1982
33	67	1928
34	68	1878
35	68	1834
36	68	1792
37	69	1751
38	69	1711
39	69	1673
40	69	1636
41	70	1601
42	70	1568
43	70	1536
44	70	1506
45	71	1476
46	71	1449
47	71	1422
48	71	1396
49	72	1371
50	72	1347
51	72	1324
52	72	1302
53	73	1281
54	73	1261
55	73	1241
56	73	1222
57	74	1203
58	74	1186
59	74	1168
60	74	1152
61	75	1136
62	75	1120
63	75	1105
64	75	1090
65	76	1075
66	76	1061
67	76	1048
68	76	1035
69	76	1021
70	77	1009
71	77	997
72	77	986
73	77	974
74	78	964
75	78	954
76	78	944
77	79	934
78	79	924
79	79	915
80	79	907
81	80	897
82	80	890
83	80	880
84	81	872
85	81	863
86	81	855
87	81	847
88	81	839
89	82	831
90	82	823
91	82	815
92	82	808
93	83	801
94	83	794
95	83	788
96	83	781
97	84	776
98	84	769
99	84	762
100	85	756
101	85	750
102	85	744
103	85	738
104	85	732
105	86	727
106	86	721
107	86	715
108	86	710
109	87	705
110	87	700
111	87	695
112	87	689
113	88	684
114	88	679
115	88	675
116	88	670
117	89	665
118	89	660
119	89	656
120	89	652
121	90	648
122	90	643
123	90	639
124	90	636
125	91	632
126	91	628
127	91	624
128	92	621
129	92	617
130	92	613
131	92	610
132	93	606
133	93	603
134	93	599
135	93	596
136	94	592
137	94	589
138	94	586
139	94	583
140	95	579
141	95	577
142	95	573
143	95	570
144	96	566
145	96	563
146	96	560
147	96	557
148	97	555
149	97	552
150	97	549
151	97	546
152	98	543
153	98	540
154	98	538
155	99	536
156	99	534
157	99	531
158	100	529
159	100	526
160	100	522
161	100	519
162	100	517
163	100	514
164	101	511
165	101	508
166	101	506
167	101	503
168	101	501
169	102	498
170	102	496
171	102	493
172	102	491
173	102	488
174	103	486
175	103	484
176	103	481
177	103	479
178	104	477
179	104	475
180	104	472
181	104	470
182	105	469
183	105	467
184	105	464
185	105	462
186	105	460
187	106	458
188	106	456
189	106	455
190	106	453
191	107	451
192	107	448
193	107	446
194	107	444
195	107	442
196	107	439
197	108	437
198	108	435
199	108	433
200	108	431
201	108	430
202	109	428
203	109	426
204	109	425
205	109	423
206	109	421
207	110	419
208	110	418
209	110	416
210	110	414
211	111	412
212	111	410
213	111	409
214	111	407
215	111	405
216	111	403
217	112	401
218	112	400
219	112	398
220	112	397
221	112	395
222	113	394
223	113	392
224	113	390
225	113	389
226	113	387
227	114	386
228	114	385
229	114	383
230	114	381
231	114	380
232	114	378
233	115	376
234	115	375
235	115	373
236	115	372
237	115	371
238	116	369
239	116	368
240	116	366
241	116	365
242	116	363
243	116	362
244	117	360
245	117	358
246	117	357
247	117	355
248	117	353
249	117	352
250	117	351
251	117	350
252	118	348
253	118	347
254	118	346
255	118	345
256	119	344
257	119	342
258	119	341
259	119	339
260	119	338
261	119	337
262	119	335
263	119	334
264	120	333
265	120	332
266	120	331
267	120	329
268	121	328
269	121	327
270	121	326
271	121	325
272	121	324
273	121	322
274	122	321
275	122	320
276	122	320
277	122	319
278	123	318
279	123	317
280	123	316
281	123	315
282	124	314
283	124	312
284	124	312
285	124	311
286	124	310
287	125	309
288	125	308
289	125	306
290	125	306
291	125	305
292	125	303
293	126	303
294	126	302
295	126	301
296	126	299
297	126	298
298	127	298
299	127	297
300	127	296
301	127	295
302	128	294
303	128	293
304	128	292
305	128	291
306	128	290
307	129	290
308	129	289
309	129	288
310	129	287
311	130	287
312	130	286
313	130	285
314	130	284
315	131	283
316	131	282
317	131	282
318	131	281
319	132	280
320	132	279
321	132	279
322	132	278
323	132	277
324	133	276
325	133	275
326	133	275
327	133	274
328	134	273
329	134	273
330	134	272
331	134	271
332	135	270
333	135	270
334	135	269
335	135	268
336	136	268
337	136	267
338	136	266
339	137	265
340	137	265
341	137	264
342	137	263
343	137	263
344	138	262
345	138	261
346	138	261
347	139	260
348	139	260
349	139	259
350	139	258
351	139	257
352	140	258
353	141	257
354	141	256
355	141	255
356	141	255
357	142	254
358	142	253
359	142	253
360	142	252
361	142	251
362	143	251
363	143	250
364	143	250
365	144	249
366	144	248
367	144	248
368	144	247
369	145	246
370	145	246
371	145	245
372	146	246
373	146	245
374	147	245
375	147	244
376	147	244
377	147	243
378	148	242
